Task ID,Queue,Task,Owner Agent,Dependency,Acceptance Criteria,Status,Target Artifact,Notes
BL-001,Launch Kit Baseline,Freeze Memory Journal Gift Launch Kit SKU,Controller Agent,None,"SKU, buyer, promise, price ladder, deliverables, and compliance notes are documented",Accepted,src/lib/memory-journal-product.ts,"First agent-native SKU exists"
BL-002,Launch Kit Baseline,Verify generated product assets,QA Agent,BL-001,"Free sample PDF, full PDF, preview PDF, CSVs, listing copy, and promo SVGs exist and open",Accepted,public/products/memory-journal-gift-kit,"Verified by tests/build and PDF page-count check"
BL-003,Launch Kit Baseline,Create launch pack,Distribution Agent,BL-001,"SEO copy, warm email, post variants, refund terms, and checkout setup instructions exist",Accepted,ops/agent-native-revenue/memory-journal-launch-pack.md,"Ready for marketplace setup"
BL-004,Drive Operations,Import product dashboard to Google Sheets,Orchestrator Agent,BL-002,"Dashboard workbook is uploaded or manually imported to Google Sheets with tabs preserved",Blocked,ops/agent-native-revenue/battlelabs-agent-product-dashboard.xlsx,"Drive connector returned 403; use browser/manual import until OAuth scope is fixed"
BL-005,Checkout,Create $9 intro checkout link,Payment Agent,BL-003,"PayPal, Payhip, or Gumroad link exists and is added to NEXT_PUBLIC_MEMORY_JOURNAL_CHECKOUT_URL",Ready,.env.local,"No paid subscription or ad spend allowed"
BL-006,Publish,Publish landing page with checkout link,Build Agent,BL-005,"/memory-journal-gift-kit displays checkout CTA and assets remain downloadable",Ready,src/app/memory-journal-gift-kit/page.tsx,"Current page works; checkout env var is pending"
BL-007,SEO Foundation,Create keyword map,Opportunity Agent,BL-003,"30-50 keywords include intent, platform, title usage, and priority",Ready,ops/agent-native-revenue/seo-keyword-map.csv,"Use memory-journal gift and KDP creator intent"
BL-008,Marketplace Setup,Prepare marketplace listing fields,Marketplace Agent,BL-007,"KDP, Payhip/Gumroad, and Pinterest destination copy can be pasted with no missing fields",Ready,ops/agent-native-revenue/marketplace-listings.md,"No bestseller/review/income claims"
BL-009,Organic Distribution,Create Pinterest and social post queue,Design Agent,BL-007,"25 pin concepts, 8 board names, 10 captions, 5 short scripts, and CTA rules exist",Ready,ops/agent-native-revenue/distribution-task-list.md,"No spam or paid promotion"
BL-010,Warm Outreach,Create warm-only Gmail draft set,Gmail Agent,BL-003,"5 templates exist with real relationship reason, one ask, opt-out language, and no attachments by default",Ready,ops/agent-native-revenue/warm-gmail-drafts.md,"Do not send without recipient-specific context"
BL-011,Community Distribution,Find organic placement opportunities,Community Agent,BL-008,"30 opportunities include URL, audience, rules, allowed promo format, contact method, pitch, and risk level",Ready,ops/agent-native-revenue/community-opportunities.csv,"Ask mods when unsure"
BL-012,Measurement,Track launch metrics,Metrics Agent,BL-006,"Views, downloads, checkout clicks, sales, refunds, net revenue, and decisions are updated",Ready,ops/agent-native-revenue/battlelabs-agent-product-dashboard.xlsx,"Use Google Sheet when import is available"
BL-013,Decision,Kill improve or clone SKU,Controller Agent,BL-012,"Decision uses opt-ins, checkout clicks, sales, refunds, buyer language, and build hours",Backlog,ops/agent-native-revenue/decision-log.md,"Clone only from evidence"
KDP-SCORECARD-001,KDP Niche Scorecard,Define launch plan,Controller Agent,None,"Buyer, promise, price, compliance, and kill rules are documented",Done,ops/agent-native-revenue/kdp-scorecard-launch-plan.md,"Completed by agent sprint"
KDP-SCORECARD-002,KDP Niche Scorecard,Build deterministic score logic,Build Agent,KDP-SCORECARD-001,"Reusable score model exists with thresholds and test coverage",Done,src/lib/kdp-scorecard.ts,"Tested with Vitest"
KDP-SCORECARD-003,KDP Niche Scorecard,Publish free scorecard page,Build Agent,KDP-SCORECARD-002,"Free tool page exists with paid report CTA and no-guarantee disclaimer",Done,src/app/kdp-niche-scorecard/page.tsx,"Built and browser-smoke-tested locally"
KDP-SCORECARD-004,KDP Niche Scorecard,Create free and paid report sources,Build Agent,KDP-SCORECARD-003,"Free sample and paid report template sources exist",Done,public/products/kdp-niche-scorecard/,"Completed by agent sprint"
KDP-SCORECARD-005,KDP Niche Scorecard,Prepare organic distribution,Distribution Agent,KDP-SCORECARD-003,"SEO and social launch tasks are added for the new SKU",Ready,ops/agent-native-revenue/distribution-task-list.md,"Next autonomous runner should publish or prep organic launch placements"
