Issue ID,Title,Description,Status,Priority,Labels
BL-004,Import product dashboard to Google Sheets,"Upload or manually import ops/agent-native-revenue/battlelabs-agent-product-dashboard.xlsx into Google Sheets. Preserve Product Metrics and QA Checklist tabs. No-connector fallback: import ops/agent-native-revenue/dashboard-tabs/*.csv as tabs. Current blocker: Drive connector returned 403, so use browser/manual import or reconnect Drive scope.",Blocked,High,"drive,sheets,ops,blocked"
BL-005,Create intro checkout link,"Create a $9 intro product link for Memory Journal Gift Launch Kit through PayPal, Payhip, or Gumroad. Add the link to NEXT_PUBLIC_MEMORY_JOURNAL_CHECKOUT_URL and verify tracked checkout URL works. Blocked on payment account credentials. Handoff: ops/agent-native-revenue/checkout-handoff-memory-journal.md",Done,High,"checkout,revenue"
BL-006,Publish landing page with checkout link,"Deploy /memory-journal-gift-kit after checkout link is configured. Acceptance: page loads, free sample downloads, full paid assets are ready for delivery, and checkout CTA points to the live product.",Done,High,"publish,web,revenue"
BL-007,Create SEO keyword map,"Create 30-50 keywords for memory journal gift intent. Include keyword, intent, platform, title usage, priority, and notes. Avoid keyword stuffing.",Done,Medium,"seo,research"
BL-008,Prepare marketplace listing fields,"Create paste-ready listing fields for Payhip or Gumroad, KDP later, and Pinterest destination copy. Include title, subtitle, description, price, image captions, refund/usage copy, and compliance notes.",Done,High,"marketplace,copy"
BL-009,Create Pinterest and social post queue,"Produce 25 pin concepts, 8 board names, 10 captions, 5 short video scripts, 5 carousel outlines, and CTA rules. Use product/sample-page visuals and no fake scarcity.",Done,Medium,"distribution,design"
BL-010,Create warm-only Gmail draft set,"Draft 5 warm email templates: feedback request, soft launch, gift-guide pitch, creator collaboration, and follow-up. Each must require a real relationship reason and easy opt-out language.",Done,Medium,"gmail,outreach"
BL-011,Find organic placement opportunities,"Research 30 rule-compliant communities/blogs/newsletters/group boards. Track URL, audience, rules, contact method, suggested pitch, and risk level.",Done,Medium,"community,distribution"
BL-012,Track launch metrics,"Update the dashboard with views, sample downloads, checkout clicks, sales, refunds, net revenue, conversion rate, and next action. Use local workbook until Google Sheets import works.",Done,High,"metrics,revenue"
BL-013,Decide kill improve or clone,"Use evidence to decide whether to improve the current SKU, clone another recipient variant, or switch lanes. Clone only when sales, checkout clicks, opt-ins, or buyer language justify it.",Backlog,High,"controller,decision"
KDP-SCORECARD-011,Verify PayPal payment-to-download flow,"Complete one human-approved paid PayPal checkout for the KDP Launch Report Kit and confirm the buyer lands on /kdp-launch-report-delivery with access, then downloads the audited ZIP. Agents do not spend money; requires owner action. See ops/agent-native-revenue/kdp-report-delivery-handoff.md.",Blocked,High,"kdp,paypal,delivery"
KDP-LISTING-001,Define KDP Listing Copy Pack SKU,"Adjacent SKU definition is ready at ops/agent-native-revenue/kdp-listing-copy-pack-plan.md. Next step: build /kdp-listing-copy-pack (free checklist + paid workbook) and wire cross-sell from /kdp-niche-scorecard after gates pass.",Done,Medium,"kdp,sku,copy"
KDP-LISTING-002,Build KDP Listing Copy Pack page + assets,"Shipped /kdp-listing-copy-pack with a free listing angle checklist, a preview workbook template, and a non-public deliverable source at deliverables/kdp-listing-copy-pack/kdp-listing-copy-workbook.md. Added sitemap entry, eval:products coverage for KDP-LISTING-001, and a cross-link from /kdp-niche-scorecard.",Done,Medium,"kdp,copy,web"
